Code	Address	ZipCode	Type	County
BFI6	20202 84th Ave S, Kent, WA 	98032	Amazon Fresh	King
UWA6	20202 84th Ave S, Kent, WA 	98032	Amazon Fresh	King
UWA5	Seattle South Business Park – Building 6, 18323 Andover Park W, Tukwila, WA 	98188	Amazon Fresh	King
UWA2	13537 Aurora Ave N, Seattle, WA 	98133	Amazon Ultra Fast Fresh	King
DWA2	2871 S 102nd St, Tukwila, WA 	98168	Delivery Station	King
DWS4	315 Shuksan Way, Everett, WA 	98203	Delivery Station	Snohomish
DWA5	23226 Witte Rd SE, Maple Valley, WA 	98038	Delivery Station	King
HWA2	20529 24th Ave S, SeaTac, WA 	98198	Delivery Station	King
